"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",,StartDate,Start Date
"{""ImportId"":""QID13"",""choiceId"":""7""}",,Q2.2_7,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - KG Completion, Link Prediction"
"{""ImportId"":""QID13"",""choiceId"":""8""}",,Q2.2_8,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Question Answering"
"{""ImportId"":""QID13"",""choiceId"":""17""}",,Q2.2_17,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Anomaly Detection"
"{""ImportId"":""QID13"",""choiceId"":""9""}",,Q2.2_9,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Other:"
"{""ImportId"":""QID13"",""choiceId"":""10""}",,Q2.2_10,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Recommender System"
"{""ImportId"":""QID13"",""choiceId"":""11""}",,Q2.2_11,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Search (document or information)"
"{""ImportId"":""QID13"",""choiceId"":""12""}",,Q2.2_12,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Decision Support"
"{""ImportId"":""QID13"",""choiceId"":""13""}",,Q2.2_13,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Exploration"
"{""ImportId"":""QID13"",""choiceId"":""14""}",,Q2.2_14,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - Other:"
"{""ImportId"":""QID13"",""choiceId"":""18""}",,Q2.2_18,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Selected Choice - None"
"{""ImportId"":""QID13_3_TEXT""}",,Q2.2_3_TEXT,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Other: - Text"
"{""ImportId"":""QID13_5_TEXT""}",,Q2.2_5_TEXT,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Other: - Text"
"{""ImportId"":""QID13_9_TEXT""}",,Q2.2_9_TEXT,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Other: - Text"
"{""ImportId"":""QID13_14_TEXT""}",,Q2.2_14_TEXT,"We want to know about the purpose of this KG, please select from the list below anything that fits. - Other: - Text"
"{""ImportId"":""QID14_TEXT""}",,Q2.3,Other task that you was not covered in the above list:
"{""ImportId"":""QID15"",""choiceId"":""1""}",Sources,Q2.4_1,What kind of data sources were integrated in this Knowledge Graph? - Selected Choice - Relational database
"{""ImportId"":""QID15"",""choiceId"":""2""}",,Q2.4_2,What kind of data sources were integrated in this Knowledge Graph? - Selected Choice - Graph database
"{""ImportId"":""QID15"",""choiceId"":""3""}",,Q2.4_3,What kind of data sources were integrated in this Knowledge Graph? - Selected Choice - CSV
"{""ImportId"":""QID15"",""choiceId"":""4""}",,Q2.4_4,What kind of data sources were integrated in this Knowledge Graph? - Selected Choice - Other:
"{""ImportId"":""QID15"",""choiceId"":""5""}",,Q2.4_5,What kind of data sources were integrated in this Knowledge Graph? - Selected Choice - Wikidata
"{""ImportId"":""QID15"",""choiceId"":""6""}",,Q2.4_6,What kind of data sources were integrated in this Knowledge Graph? - Selected Choice - DBpedia
"{""ImportId"":""QID15"",""choiceId"":""7""}",,Q2.4_7,What kind of data sources were integrated in this Knowledge Graph? - Selected Choice - Yago
"{""ImportId"":""QID15"",""choiceId"":""8""}",,Q2.4_8,What kind of data sources were integrated in this Knowledge Graph? - Selected Choice - Other:
"{""ImportId"":""QID15"",""choiceId"":""9""}",,Q2.4_9,What kind of data sources were integrated in this Knowledge Graph? - Selected Choice - Documents
"{""ImportId"":""QID15"",""choiceId"":""10""}",,Q2.4_10,What kind of data sources were integrated in this Knowledge Graph? - Selected Choice - Webpages
"{""ImportId"":""QID15"",""choiceId"":""11""}",,Q2.4_11,"What kind of data sources were integrated in this Knowledge Graph? - Selected Choice - Other, smaller pieces:"
"{""ImportId"":""QID15_4_TEXT""}",,Q2.4_4_TEXT,What kind of data sources were integrated in this Knowledge Graph? - Other: - Text
"{""ImportId"":""QID15_8_TEXT""}",,Q2.4_8_TEXT,What kind of data sources were integrated in this Knowledge Graph? - Other: - Text
"{""ImportId"":""QID15_11_TEXT""}",,Q2.4_11_TEXT,"What kind of data sources were integrated in this Knowledge Graph? - Other, smaller pieces: - Text"
"{""ImportId"":""QID16""}",,Q2.5,"I consent to the sharing of the above-provided information, in this block, about the KG:"
"{""ImportId"":""QID20""}",,Q3.1,"Choose one of the following that you most agree with. The statements are in first person, but we do not make a difference here if this was done by one person, multiple or not by you specifically but someone from your team. - Selected Choice"
"{""ImportId"":""QID20_4_TEXT""}",,Q3.1_4_TEXT,"Choose one of the following that you most agree with. The statements are in first person, but we do not make a difference here if this was done by one person, multiple or not by you specifically but someone from your team. - Other: - Text"
"{""ImportId"":""QID21""}",,Q3.1.1,Did you follow an Ontology Engineering Methodology?
"{""ImportId"":""QID22""}",,Q3.1.2,"If yes, which methodology did you follow? - Selected Choice"
"{""ImportId"":""QID22_11_TEXT""}",,Q3.1.2_11_TEXT,"If yes, which methodology did you follow? - Other: - Text"
"{""ImportId"":""QID23"",""choiceId"":""1""}",Ontology Engineering Activities,Q3.2_1,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - I specified use cases.
"{""ImportId"":""QID23"",""choiceId"":""2""}",,Q3.2_2,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - I identified the purpose and scope.
"{""ImportId"":""QID23"",""choiceId"":""3""}",,Q3.2_3,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - I captured ontology requirements through competency questions.
"{""ImportId"":""QID23"",""choiceId"":""4""}",,Q3.2_4,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - I defined ontology requirements in a different way.
"{""ImportId"":""QID23"",""choiceId"":""5""}",,Q3.2_5,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - Other:
"{""ImportId"":""QID23"",""choiceId"":""6""}",,Q3.2_6,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - I checked for ontology reuse.
"{""ImportId"":""QID23"",""choiceId"":""7""}",,Q3.2_7,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - I took the time to draw/sketch a conceptualisation.
"{""ImportId"":""QID23"",""choiceId"":""8""}",,Q3.2_8,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - I encoded the ontology in an ontology implementation language.
"{""ImportId"":""QID23"",""choiceId"":""9""}",,Q3.2_9,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - I evaluated the ontology.
"{""ImportId"":""QID23"",""choiceId"":""10""}",,Q3.2_10,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - Other:
"{""ImportId"":""QID23"",""choiceId"":""11""}",,Q3.2_11,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - I wrote a documentation for the ontology.
"{""ImportId"":""QID23"",""choiceId"":""12""}",,Q3.2_12,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - I published the ontology.
"{""ImportId"":""QID23"",""choiceId"":""13""}",,Q3.2_13,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - Other:
"{""ImportId"":""QID23"",""choiceId"":""14""}",,Q3.2_14,"Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - I, or someone else, found bugs in the ontology."
"{""ImportId"":""QID23"",""choiceId"":""15""}",,Q3.2_15,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - I checked for new requirements.
"{""ImportId"":""QID23"",""choiceId"":""16""}",,Q3.2_16,Choose from the tasks/steps below that align with the steps you followed: - Selected Choice - Other:
"{""ImportId"":""QID23_5_TEXT""}",,Q3.2_5_TEXT,Choose from the tasks/steps below that align with the steps you followed: - Other: - Text
"{""ImportId"":""QID23_10_TEXT""}",,Q3.2_10_TEXT,Choose from the tasks/steps below that align with the steps you followed: - Other: - Text
"{""ImportId"":""QID23_13_TEXT""}",,Q3.2_13_TEXT,Choose from the tasks/steps below that align with the steps you followed: - Other: - Text
"{""ImportId"":""QID23_16_TEXT""}",,Q3.2_16_TEXT,Choose from the tasks/steps below that align with the steps you followed: - Other: - Text
"{""ImportId"":""QID24_TEXT""}",,Q3.3,Are there any other steps you performed that you were unable to mark? Please specify into which of the groups you would put the missing step or task.
"{""ImportId"":""QID25_TEXT""}",,Q4.1,If you followed any Knowledge Graph Engineering methodology please provide a reference or description here:
"{""ImportId"":""QID1#1_1"",""choiceId"":""1""}",KG Impl.: Data Preparation,Q4.2#1_1_1,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data preparation: I prepared/preprocessed the data. - Onto/KG Engineer
"{""ImportId"":""QID1#1_1"",""choiceId"":""2""}",,Q4.2#1_1_2,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data preparation: I prepared/preprocessed the data. - Domain Expert
"{""ImportId"":""QID1#1_1"",""choiceId"":""3""}",,Q4.2#1_1_3,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data preparation: I prepared/preprocessed the data. - Automated
"{""ImportId"":""QID1#1_1"",""choiceId"":""4""}",,Q4.2#1_1_4,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data preparation: I prepared/preprocessed the data. - LLM
"{""ImportId"":""QID1#1_1"",""choiceId"":""5""}",,Q4.2#1_1_5,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data preparation: I prepared/preprocessed the data. - Not applicable
"{""ImportId"":""QID1#1_2"",""choiceId"":""1""}",KG Impl.: Mapping Generation,Q4.2#1_2_1,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Mapping generation: I wrote or generated mappings (e.g. RML) or a script to be able to transform the data into RDF. - Onto/KG Engineer
"{""ImportId"":""QID1#1_2"",""choiceId"":""2""}",,Q4.2#1_2_2,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Mapping generation: I wrote or generated mappings (e.g. RML) or a script to be able to transform the data into RDF. - Domain Expert
"{""ImportId"":""QID1#1_2"",""choiceId"":""3""}",,Q4.2#1_2_3,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Mapping generation: I wrote or generated mappings (e.g. RML) or a script to be able to transform the data into RDF. - Automated
"{""ImportId"":""QID1#1_2"",""choiceId"":""4""}",,Q4.2#1_2_4,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Mapping generation: I wrote or generated mappings (e.g. RML) or a script to be able to transform the data into RDF. - LLM
"{""ImportId"":""QID1#1_2"",""choiceId"":""5""}",,Q4.2#1_2_5,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Mapping generation: I wrote or generated mappings (e.g. RML) or a script to be able to transform the data into RDF. - Not applicable
"{""ImportId"":""QID1#1_3"",""choiceId"":""1""}",KG Impl.: Data Transformation,Q4.2#1_3_1,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data transformation: I executed the script or mappings. The output of this step was the RDF data. - Onto/KG Engineer
"{""ImportId"":""QID1#1_3"",""choiceId"":""2""}",,Q4.2#1_3_2,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data transformation: I executed the script or mappings. The output of this step was the RDF data. - Domain Expert
"{""ImportId"":""QID1#1_3"",""choiceId"":""3""}",,Q4.2#1_3_3,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data transformation: I executed the script or mappings. The output of this step was the RDF data. - Automated
"{""ImportId"":""QID1#1_3"",""choiceId"":""4""}",,Q4.2#1_3_4,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data transformation: I executed the script or mappings. The output of this step was the RDF data. - LLM
"{""ImportId"":""QID1#1_3"",""choiceId"":""5""}",,Q4.2#1_3_5,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data transformation: I executed the script or mappings. The output of this step was the RDF data. - Not applicable
"{""ImportId"":""QID1#1_4"",""choiceId"":""1""}",KG Impl.: Constraint Generation,Q4.2#1_4_1,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Constraints generation: I wrote or generated constraints for data validation purposes. - Onto/KG Engineer
"{""ImportId"":""QID1#1_4"",""choiceId"":""2""}",,Q4.2#1_4_2,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Constraints generation: I wrote or generated constraints for data validation purposes. - Domain Expert
"{""ImportId"":""QID1#1_4"",""choiceId"":""3""}",,Q4.2#1_4_3,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Constraints generation: I wrote or generated constraints for data validation purposes. - Automated
"{""ImportId"":""QID1#1_4"",""choiceId"":""4""}",,Q4.2#1_4_4,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Constraints generation: I wrote or generated constraints for data validation purposes. - LLM
"{""ImportId"":""QID1#1_4"",""choiceId"":""5""}",,Q4.2#1_4_5,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Constraints generation: I wrote or generated constraints for data validation purposes. - Not applicable
"{""ImportId"":""QID1#1_5"",""choiceId"":""1""}",KG Impl.: Data Validation,Q4.2#1_5_1,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data validation: I validated my RDF data (and fixed mistakes that might have been found) - Onto/KG Engineer
"{""ImportId"":""QID1#1_5"",""choiceId"":""2""}",,Q4.2#1_5_2,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data validation: I validated my RDF data (and fixed mistakes that might have been found) - Domain Expert
"{""ImportId"":""QID1#1_5"",""choiceId"":""3""}",,Q4.2#1_5_3,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data validation: I validated my RDF data (and fixed mistakes that might have been found) - Automated
"{""ImportId"":""QID1#1_5"",""choiceId"":""4""}",,Q4.2#1_5_4,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data validation: I validated my RDF data (and fixed mistakes that might have been found) - LLM
"{""ImportId"":""QID1#1_5"",""choiceId"":""5""}",,Q4.2#1_5_5,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Data validation: I validated my RDF data (and fixed mistakes that might have been found) - Not applicable
"{""ImportId"":""QID1#1_6"",""choiceId"":""1""}",KG Impl.: Other?,Q4.2#1_6_1,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Other Task - Onto/KG Engineer
"{""ImportId"":""QID1#1_6"",""choiceId"":""2""}",,Q4.2#1_6_2,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Other Task - Domain Expert
"{""ImportId"":""QID1#1_6"",""choiceId"":""3""}",,Q4.2#1_6_3,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Other Task - Automated
"{""ImportId"":""QID1#1_6"",""choiceId"":""4""}",,Q4.2#1_6_4,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Other Task - LLM
"{""ImportId"":""QID1#1_6"",""choiceId"":""5""}",,Q4.2#1_6_5,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Other Task - Not applicable
"{""ImportId"":""QID1#1_6_TEXT""}",,Q4.2#1_6_TEXT,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Who was involved in this step: - Other Task - Text
"{""ImportId"":""QID1#2_1_1""}",KG Impl.: comment,Q4.2#2_1_1,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Comment about this task: - Data preparation: I prepared/preprocessed the data. - Comment
"{""ImportId"":""QID1#2_2_1""}",,Q4.2#2_2_1,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Comment about this task: - Mapping generation: I wrote or generated mappings (e.g. RML) or a script to be able to transform the data into RDF. - Comment
"{""ImportId"":""QID1#2_3_1""}",,Q4.2#2_3_1,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Comment about this task: - Data transformation: I executed the script or mappings. The output of this step was the RDF data. - Comment
"{""ImportId"":""QID1#2_4_1""}",,Q4.2#2_4_1,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Comment about this task: - Constraints generation: I wrote or generated constraints for data validation purposes. - Comment
"{""ImportId"":""QID1#2_5_1""}",,Q4.2#2_5_1,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Comment about this task: - Data validation: I validated my RDF data (and fixed mistakes that might have been found) - Comment
"{""ImportId"":""QID1#2_6_TEXT""}",,Q4.2#2_6_TEXT,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Comment about this task: - Other Task - Text
"{""ImportId"":""QID1#2_6_1""}",,Q4.2#2_6_1,KG Implementation Choose from the tasks below that align with those you followed and select the a... - Comment about this task: - Other Task - Comment
"{""ImportId"":""QID1#3_1_1""}",KG Impl.: tools,Q4.2#3_1_1,"KG Implementation Choose from the tasks below that align with those you followed and select the a... - If you performed this step, with what tools or libraries? - Data preparation: I prepared/preprocessed the data. - Tool, Library, etc."
"{""ImportId"":""QID1#3_2_1""}",,Q4.2#3_2_1,"KG Implementation Choose from the tasks below that align with those you followed and select the a... - If you performed this step, with what tools or libraries? - Mapping generation: I wrote or generated mappings (e.g. RML) or a script to be able to transform the data into RDF. - Tool, Library, etc."
"{""ImportId"":""QID1#3_3_1""}",,Q4.2#3_3_1,"KG Implementation Choose from the tasks below that align with those you followed and select the a... - If you performed this step, with what tools or libraries? - Data transformation: I executed the script or mappings. The output of this step was the RDF data. - Tool, Library, etc."
"{""ImportId"":""QID1#3_4_1""}",,Q4.2#3_4_1,"KG Implementation Choose from the tasks below that align with those you followed and select the a... - If you performed this step, with what tools or libraries? - Constraints generation: I wrote or generated constraints for data validation purposes. - Tool, Library, etc."
"{""ImportId"":""QID1#3_5_1""}",,Q4.2#3_5_1,"KG Implementation Choose from the tasks below that align with those you followed and select the a... - If you performed this step, with what tools or libraries? - Data validation: I validated my RDF data (and fixed mistakes that might have been found) - Tool, Library, etc."
"{""ImportId"":""QID1#3_6_TEXT""}",,Q4.2#3_6_TEXT,"KG Implementation Choose from the tasks below that align with those you followed and select the a... - If you performed this step, with what tools or libraries? - Other Task - Text"
"{""ImportId"":""QID1#3_6_1""}",,Q4.2#3_6_1,"KG Implementation Choose from the tasks below that align with those you followed and select the a... - If you performed this step, with what tools or libraries? - Other Task - Tool, Library, etc."
"{""ImportId"":""QID26_TEXT""}",,Q4.2.1,KG Implementation Are there any other steps you performed that you were unable to mark or add above? Please describe:
"{""ImportId"":""QID28#1_1"",""choiceId"":""1""}",KG pub.: documentation,Q4.3#1_1_1,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Documentation: I wrote or generated documentation for the KG. - Onto/KG Engineer
"{""ImportId"":""QID28#1_1"",""choiceId"":""2""}",,Q4.3#1_1_2,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Documentation: I wrote or generated documentation for the KG. - Domain Expert
"{""ImportId"":""QID28#1_1"",""choiceId"":""3""}",,Q4.3#1_1_3,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Documentation: I wrote or generated documentation for the KG. - Automated
"{""ImportId"":""QID28#1_1"",""choiceId"":""4""}",,Q4.3#1_1_4,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Documentation: I wrote or generated documentation for the KG. - LLM
"{""ImportId"":""QID28#1_1"",""choiceId"":""5""}",,Q4.3#1_1_5,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Documentation: I wrote or generated documentation for the KG. - Not applicable
"{""ImportId"":""QID28#1_2"",""choiceId"":""1""}",KG pub.: publication,Q4.3#1_2_1,"KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Data publication: I published the KG (RDF, dump or other) and its documentation. - Onto/KG Engineer"
"{""ImportId"":""QID28#1_2"",""choiceId"":""2""}",,Q4.3#1_2_2,"KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Data publication: I published the KG (RDF, dump or other) and its documentation. - Domain Expert"
"{""ImportId"":""QID28#1_2"",""choiceId"":""3""}",,Q4.3#1_2_3,"KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Data publication: I published the KG (RDF, dump or other) and its documentation. - Automated"
"{""ImportId"":""QID28#1_2"",""choiceId"":""4""}",,Q4.3#1_2_4,"KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Data publication: I published the KG (RDF, dump or other) and its documentation. - LLM"
"{""ImportId"":""QID28#1_2"",""choiceId"":""5""}",,Q4.3#1_2_5,"KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Data publication: I published the KG (RDF, dump or other) and its documentation. - Not applicable"
"{""ImportId"":""QID28#1_3"",""choiceId"":""1""}",KG pub.: other?,Q4.3#1_3_1,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Other Task - Onto/KG Engineer
"{""ImportId"":""QID28#1_3"",""choiceId"":""2""}",,Q4.3#1_3_2,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Other Task - Domain Expert
"{""ImportId"":""QID28#1_3"",""choiceId"":""3""}",,Q4.3#1_3_3,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Other Task - Automated
"{""ImportId"":""QID28#1_3"",""choiceId"":""4""}",,Q4.3#1_3_4,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Other Task - LLM
"{""ImportId"":""QID28#1_3"",""choiceId"":""5""}",,Q4.3#1_3_5,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Other Task - Not applicable
"{""ImportId"":""QID28#1_3_TEXT""}",,Q4.3#1_3_TEXT,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Other Task - Text
"{""ImportId"":""QID28#2_1_1""}",KG pub.: comment,Q4.3#2_1_1,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Comment about this task - Documentation: I wrote or generated documentation for the KG. - Comment
"{""ImportId"":""QID28#2_2_1""}",,Q4.3#2_2_1,"KG Publication Choose from the tasks below that align with those you followed and select the acto... - Comment about this task - Data publication: I published the KG (RDF, dump or other) and its documentation. - Comment"
"{""ImportId"":""QID28#2_3_TEXT""}",,Q4.3#2_3_TEXT,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Comment about this task - Other Task - Text
"{""ImportId"":""QID28#2_3_1""}",,Q4.3#2_3_1,KG Publication Choose from the tasks below that align with those you followed and select the acto... - Comment about this task - Other Task - Comment
"{""ImportId"":""QID28#3_1_1""}",KG pub.: tools,Q4.3#3_1_1,"KG Publication Choose from the tasks below that align with those you followed and select the acto... - If you performed this step, with what tools or libraries? - Documentation: I wrote or generated documentation for the KG. - Tool, Library, etc."
"{""ImportId"":""QID28#3_2_1""}",,Q4.3#3_2_1,"KG Publication Choose from the tasks below that align with those you followed and select the acto... - If you performed this step, with what tools or libraries? - Data publication: I published the KG (RDF, dump or other) and its documentation. - Tool, Library, etc."
"{""ImportId"":""QID28#3_3_TEXT""}",,Q4.3#3_3_TEXT,"KG Publication Choose from the tasks below that align with those you followed and select the acto... - If you performed this step, with what tools or libraries? - Other Task - Text"
"{""ImportId"":""QID28#3_3_1""}",,Q4.3#3_3_1,"KG Publication Choose from the tasks below that align with those you followed and select the acto... - If you performed this step, with what tools or libraries? - Other Task - Tool, Library, etc."
"{""ImportId"":""QID27_TEXT""}",,Q4.3.1,KG Publication Are there any other steps you performed that you were unable to mark or add above? Please describe below:
"{""ImportId"":""QID29#1_1"",""choiceId"":""1""}",,Q4.4#1_1_1,KG Maintenance Choose from the tasks below that align with those you followed and select the acto... - Who was involved in this step: - Bug detection: There are contingencies in place to detect and fix bugs in the KG. - Onto/KG Engineer
